PATH:
/iclock/cdata?SN=MED7254500077&table=ATTLOG&Stamp=9999

HEADERS:
Host: 10.10.250.2:8081
User-Agent: iClock Proxy/1.09
Connection: close
Accept: */*
Content-Type: text/plain
Content-Length: 2583


BODY:
20088	2026-07-28 23:42:27	0	15	0	0	0	0	0	0	1447
20384	2026-07-29 07:52:33	0	15	0	0	0	0	0	0	1448
20322	2026-07-29 07:52:54	0	15	0	0	0	0	0	0	1449
20090	2026-07-29 07:52:57	0	15	0	0	0	0	0	0	1450
20339	2026-07-29 07:53:02	0	15	0	0	0	0	0	0	1451
20063	2026-07-29 07:53:09	0	1	0	0	0	0	0	0	1452
20081	2026-07-29 07:53:12	0	1	0	0	0	0	0	0	1453
20082	2026-07-29 07:53:17	0	1	0	0	0	0	0	0	1454
20391	2026-07-29 07:53:22	0	15	0	0	0	0	0	0	1455
25001	2026-07-29 07:56:27	0	1	0	0	0	0	0	0	1456
20372	2026-07-29 07:59:24	0	15	0	0	0	0	0	0	1457
20392	2026-07-29 07:59:35	0	15	0	0	0	0	0	0	1458
20408	2026-07-29 07:59:40	0	15	0	0	0	0	0	0	1459
20424	2026-07-29 07:59:48	0	15	0	0	0	0	0	0	1460
20461	2026-07-29 07:59:51	0	15	0	0	0	0	0	0	1461
20330	2026-07-29 08:00:04	0	15	0	0	0	0	0	0	1462
20435	2026-07-29 08:00:12	0	15	0	0	0	0	0	0	1463
20512	2026-07-29 08:00:16	0	15	0	0	0	0	0	0	1464
20566	2026-07-29 08:00:22	0	1	0	0	0	0	0	0	1465
20430	2026-07-29 08:00:32	0	15	0	0	0	0	0	0	1466
20612	2026-07-29 08:00:36	0	15	0	0	0	0	0	0	1467
20434	2026-07-29 08:00:46	0	15	0	0	0	0	0	0	1468
20305	2026-07-29 08:00:51	0	15	0	0	0	0	0	0	1469
20306	2026-07-29 08:00:59	0	15	0	0	0	0	0	0	1470
20545	2026-07-29 08:01:37	0	15	0	0	0	0	0	0	1471
20544	2026-07-29 08:01:46	0	15	0	0	0	0	0	0	1472
20380	2026-07-29 08:01:56	0	15	0	0	0	0	0	0	1473
20346	2026-07-29 08:02:04	0	15	0	0	0	0	0	0	1474
20350	2026-07-29 08:02:15	0	15	0	0	0	0	0	0	1475
20543	2026-07-29 08:02:19	0	15	0	0	0	0	0	0	1476
20074	2026-07-29 08:02:33	0	1	0	0	0	0	0	0	1477
20553	2026-07-29 08:02:49	0	15	0	0	0	0	0	0	1478
20366	2026-07-29 08:02:53	0	15	0	0	0	0	0	0	1479
24047	2026-07-29 08:03:12	0	15	0	0	0	0	0	0	1480
20398	2026-07-29 08:05:07	0	15	0	0	0	0	0	0	1481
20613	2026-07-29 08:05:43	0	15	0	0	0	0	0	0	1482
20319	2026-07-29 08:05:51	0	1	0	0	0	0	0	0	1483
20361	2026-07-29 08:06:02	0	1	0	0	0	0	0	0	1484
20317	2026-07-29 08:06:14	0	15	0	0	0	0	0	0	1485
20017	2026-07-29 08:06:20	0	15	0	0	0	0	0	0	1486
20542	2026-07-29 08:07:09	0	15	0	0	0	0	0	0	1487
20068	2026-07-29 08:07:14	0	15	0	0	0	0	0	0	1488
20412	2026-07-29 08:07:30	0	15	0	0	0	0	0	0	1489
20557	2026-07-29 08:08:47	0	15	0	0	0	0	0	0	1490
20055	2026-07-29 08:09:45	0	15	0	0	0	0	0	0	1491
20086	2026-07-29 08:10:02	0	15	0	0	0	0	0	0	1492
20572	2026-07-29 08:15:48	0	1	0	0	0	0	0	0	1493
20432	2026-07-29 08:16:53	0	15	0	0	0	0	0	0	1494
20320	2026-07-29 08:16:57	0	15	0	0	0	0	0	0	1495
20010	2026-07-29 08:18:25	0	15	0	0	0	0	0	0	1496
20079	2026-07-29 08:18:33	0	15	0	0	0	0	0	0	1497
20327	2026-07-29 08:18:59	0	15	0	0	0	0	0	0	1498
20394	2026-07-29 08:21:06	0	15	0	0	0	0	0	0	1499
20515	2026-07-29 08:21:27	0	15	0	0	0	0	0	0	1500
