PATH:
/iclock/cdata?SN=MED7254500092&table=OPERLOG&Stamp=9999

HEADERS:
Host: 10.10.250.2:8081
User-Agent: iClock Proxy/1.09
Connection: close
Accept: */*
Content-Type: text/plain
Content-Length: 1018


BODY:
OPLOG 69	20079	2026-07-29 15:41:50	S94	0	0	0
OPLOG 3	20079	2026-07-29 15:41:51	55	0	0	0
OPLOG 36	20079	2026-07-29 15:41:52	S94	0	0	0
OPLOG 6	20079	2026-07-29 15:41:52	S94	0	0	0
OPLOG 69	20079	2026-07-29 15:43:03	S96	0	0	0
OPLOG 36	20079	2026-07-29 15:43:06	S96	0	0	0
OPLOG 6	20079	2026-07-29 15:43:06	S96	0	0	0
OPLOG 69	20079	2026-07-29 15:44:16	S27	0	0	0
OPLOG 36	20079	2026-07-29 15:44:17	S27	0	0	0
OPLOG 6	20079	2026-07-29 15:44:18	S27	0	0	0
OPLOG 69	20079	2026-07-29 15:46:11	99002100	0	0	0
OPLOG 36	20079	2026-07-29 15:46:13	99002100	0	0	0
OPLOG 6	20079	2026-07-29 15:46:14	99002100	0	0	0
OPLOG 69	20079	2026-07-29 15:47:25	99002104	0	0	0
OPLOG 69	20079	2026-07-29 15:47:34	99002104	0	0	0
OPLOG 36	20079	2026-07-29 15:47:37	99002104	0	0	0
OPLOG 6	20079	2026-07-29 15:47:37	99002104	0	0	0
OPLOG 4	20079	2026-07-29 16:05:51	20079	0	0	0
OPLOG 69	20079	2026-07-29 16:06:41	S34	0	0	0
OPLOG 69	20079	2026-07-29 16:06:51	S34	0	0	0
OPLOG 36	20079	2026-07-29 16:06:53	S34	0	0	0
OPLOG 6	20079	2026-07-29 16:06:54	S34	0	0	0
